TestingSet,Predictions,Error,SquareError,AbsoluteError
0.00811515424553022,0.01293514130087433,-0.004819987055344109,2.3232275213684775e-05,0.004819987055344109
-0.02303484116553633,-0.0033511618201995668,-0.019683679345336765,0.0003874472325700372,0.019683679345336765
-0.01965609090757781,0.003718348306229989,-0.023374439213807798,0.0005463644085599958,0.023374439213807798
0.008457605774999877,0.0044569936277417295,0.004000612147258147,1.6004897552789444e-05,0.004000612147258147
-0.013683110112237884,-0.00033432861842217637,-0.013348781493815708,0.00017818996736963672,0.013348781493815708
0.00012667555084711066,0.0028643030569324482,-0.0027376275060853376,7.494604362075025e-06,0.0027376275060853376
0.033739964365349095,0.0027726422624389764,0.03096732210291012,0.0009589750382253857,0.03096732210291012
-0.0029143033892520265,0.013057753767555566,-0.015972057156807593,0.0002551066098203286,0.015972057156807593
-0.023220738556430483,-0.007371021729663026,-0.015849716826767456,0.00025121352348871545,0.015849716826767456
-0.07157347673052605,0.012190352395482343,-0.0837638291260084,0.007016379069851132,0.0837638291260084
-0.004736087074400429,0.0007034984075252326,-0.005439585481925662,2.9589090215176435e-05,0.005439585481925662
0.15256045132897,-0.0026405959981243565,0.15520104732709436,0.024087365091426984,0.15520104732709436
0.06559823437938128,-0.005786143866515658,0.07138437824589694,0.0050957294575532846,0.07138437824589694
0.031010088341126618,-0.0013322174072122883,0.032342305748338906,0.001046024741119036,0.032342305748338906
-0.0349871059107052,0.005330325674360037,-0.04031743158506524,0.0016254952896164162,0.04031743158506524
0.022582464210229247,-0.011343132956700037,0.033925597166929285,0.0011509461431327603,0.033925597166929285
-0.02827731906748987,0.01853750263418366,-0.04681482170167353,0.0021916275309594832,0.04681482170167353
-0.0013466193056235196,-0.0013626495868495,1.603028122598043e-05,2.5696991618402067e-10,1.603028122598043e-05
0.011192361860555168,0.006370675168441378,0.00482168669211379,2.3248662556907225e-05,0.00482168669211379
0.0055350555741569,0.001052255780184452,0.004482799793972448,2.009549399283942e-05,0.004482799793972448
-0.009753174390752406,0.0014992620251267508,-0.011252436415879157,0.00012661732529340336,0.011252436415879157
0.02144891446525321,0.010349778958173638,0.011099135507079572,0.00012319080900451452,0.011099135507079572
-0.010448664422957776,-0.002530681522790186,-0.00791798290016759,6.269445320734636e-05,0.00791798290016759
