Date,Bitcoin,Gold,Nvidia
14-10-2019,0.00811515424553022,0.0022466268146850155,0.0028991752294356132
15-10-2019,-0.023034841165536335,-0.007990034839987281,0.05140855070566808
16-10-2019,-0.019656090907577806,0.005689695481396306,-0.011060586924778626
17-10-2019,0.008457605774999877,0.0015229740515882995,0.0004118404176614021
18-10-2019,-0.013683110112237884,-0.001301428400529936,-0.01975218850441518
19-10-2019,0.00012667555084711069,,
20-10-2019,0.033739964365349095,,
21-10-2019,-0.0029143033892520265,-0.003665163234762403,0.028565978586576612
22-10-2019,-0.023220738556430476,0.0022880995210901034,-0.002042797298915211
23-10-2019,-0.07157347673052605,0.002819266844699797,-0.002661890489098262
24-10-2019,-0.00473608707440043,0.007612470403103977,0.009031825651895531
25-10-2019,0.15256045132897,0.0007181854157964906,0.03827073917680135
26-10-2019,0.06559823437938128,,
27-10-2019,0.031010088341126618,,
28-10-2019,-0.034987105910705196,-0.007931968673148937,0.010940230187803657
29-10-2019,0.022582464210229247,-0.0033860183931260224,-0.018891972867181472
30-10-2019,-0.02827731906748987,0.005230347872153374,0.0003941663432982523
31-10-2019,-0.0013466193056235198,0.011940202221082608,-0.009801573445193057
01-11-2019,0.011192361860555167,0.000257705562910715,0.0077798266582664866
02-11-2019,0.0055350555741569,,
03-11-2019,-0.009753174390752406,,
04-11-2019,0.02144891446525321,-0.0028538586116422238,0.03830142086757515
05-11-2019,-0.010448664422957776,-0.01686288158637872,-0.004236991889966291
06-11-2019,0.0025344293000291174,0.004277965821797736,-0.009491011710587749
07-11-2019,-0.01495517959935988,-0.015239509260600137,0.0034137110344207855
08-11-2019,-0.04852897280906632,-0.0064348571550079114,-0.002691532913916994
09-11-2019,0.00566996886876403,,
10-11-2019,0.02503595048625762,,
11-11-2019,-0.03596348891891843,-0.0018918644001777452,0.0019232624449365687
12-11-2019,0.010128097658407498,0.0008888293136886105,0.006845571145147389
13-11-2019,-0.0046984103678404665,0.004103256154044388,-0.004973944923925444
14-11-2019,-0.015321094629566545,0.005463485340012397,0.005832314075340683
15-11-2019,-0.020089529504048187,-0.0026092681379958904,-0.02705609744894133
16-11-2019,0.0035797865959477093,,
17-11-2019,0.0019207468839059771,,
18-11-2019,-0.038928763027710644,0.0024751961302493797,0.038855225024750695
19-11-2019,-0.006933492125336116,0.0010387919633805254,-0.020416156337184965
20-11-2019,-0.004926315658808633,-0.0007678110099975655,0.015220848755859606
21-11-2019,-0.05864638867185512,-0.004770490197635979,-0.004746543940918002
22-11-2019,-0.04562195347978637,-0.0014421485725097938,0.0033723640862222126
23-11-2019,0.006430011273321767,,
24-11-2019,-0.05736249490075629,,
25-11-2019,0.02959204632928447,-0.0049135592679014906,0.04777580605925813
26-11-2019,0.00445614973562769,0.004338854472455189,-0.019215123042471305
27-11-2019,0.04917322896535303,-0.004767712130256285,0.005698021114637797
28-11-2019,-0.011910253300850826,0.0026382221758209923,
29-11-2019,0.04300639525616212,0.003975581210673873,-0.006896896160248467
30-11-2019,-0.025763509296332643,,
01-12-2019,-0.020176374619893522,,
02-12-2019,-0.013511748170591531,-0.001066214765559792,-0.035168769125264454
03-12-2019,-0.0009976371860975775,0.010138266393997064,-0.007627582494277085
04-12-2019,-0.01458009964550655,-0.0021285247525710815,0.008439677984008576
05-12-2019,0.027230748407570005,0.0010190179696074608,-0.0032523464674101277
06-12-2019,0.020291595256026085,-0.010967876060817616,0.016298381733118816
07-12-2019,-0.0058009482376615296,,
08-12-2019,0.0032999998063427682,,
09-12-2019,-0.025397730021234466,0.0016313431189916017,0.0
10-12-2019,-0.016014647900524537,0.001414973662607899,0.00849471258543577
11-12-2019,-0.003022323590105458,0.00734339113956306,0.015580394924245233
12-12-2019,-0.001751391707378147,-0.003681969323658052,0.03049555540237936
13-12-2019,0.008620415166765483,0.004230115385562172,-0.000357095035710131
14-12-2019,-0.02530184805867286,,
15-12-2019,0.007331514305416675,,
16-12-2019,-0.03351200142968658,0.00029997697374906096,0.005165438746205453
17-12-2019,-0.03864911906714141,0.00013461141711434976,0.013849903813940578
18-12-2019,0.09463949108165792,-0.0006869992411520087,0.005329850974553629
19-12-2019,-0.018718128532931644,0.002613877561813638,0.025594446113975877
20-12-2019,0.006147901338712458,-0.0007423072039038914,0.016469424338248828
21-12-2019,-0.006118569128380713,,
22-12-2019,0.04880832177324379,,
23-12-2019,-0.02573271657474585,0.004940784438986157,-0.002300341883060497
24-12-2019,-0.009006395750519758,0.009074886009848626,-0.0008378016575845137
25-12-2019,-0.00804643287464657,-0.00014012097133431212,
26-12-2019,0.0006259563908646015,0.008437479112708424,0.0023858867348591772
27-12-2019,0.0064435378064668924,-0.0005832450390785837,-0.00974674774802331
28-12-2019,0.008566941321628718,,
29-12-2019,0.011315910937499396,,
30-12-2019,-0.022558123348780157,0.0031110507628646644,-0.0193957357980592
31-12-2019,-0.007013328493210125,0.0012446685179119399,0.012745564096885431
01-01-2020,0.0008431997004336722,-7.910610109895799e-05,
02-01-2020,-0.03168185087266551,0.007853632597583982,0.019402557278591637
03-01-2020,0.05229699395457388,0.014643670637697781,-0.016135481796906603
04-01-2020,0.002422231268951691,,
05-01-2020,0.000334296817916524,,
06-01-2020,0.05327442566720464,0.009274810313205428,0.004184902436352722
07-01-2020,0.0499593620393064,0.005114437276183992,0.012033940480975502
08-01-2020,-0.014218860258196742,-0.01161670396122716,0.0018737903923131682
09-01-2020,-0.028723802945808785,-0.0022144304241837887,0.010922739955822713
10-01-2020,0.04660612574058298,0.006270575314249349,0.00533509698985668
