Exchange Date,Close,Volume,Net,%Chg,Open,Low,High
08-Nov-2019,"1,458.4070",,-9.4149,-0.6414%,"1,467.7648","1,455.8000","1,473.0000"
07-Nov-2019,"1,467.8219",,-22.5402,-1.5124%,"1,490.0400","1,460.7500","1,492.0656"
06-Nov-2019,"1,490.3621",,+6.3621,+0.4287%,"1,484.0050","1,482.1100","1,494.2000"
05-Nov-2019,"1,484.0000",,-25.2367,-1.6721%,"1,509.5350","1,479.2500","1,509.8000"
04-Nov-2019,"1,509.2367",,-4.3133,-0.2850%,"1,513.4000","1,504.0700","1,514.5355"
01-Nov-2019,"1,513.5500",,+0.3900,+0.0258%,"1,513.1300","1,502.9000","1,515.4100"
31-Oct-2019,"1,513.1600",,+17.9600,+1.2012%,"1,496.2000","1,493.4500","1,514.2000"
30-Oct-2019,"1,495.2000",,+7.8000,+0.5244%,"1,487.4000","1,480.8200","1,496.6000"
29-Oct-2019,"1,487.4000",,-5.0449,-0.3380%,"1,492.4351","1,483.5100","1,494.8000"
28-Oct-2019,"1,492.4449",,-11.8851,-0.7901%,"1,503.9600","1,489.4000","1,508.1110"
25-Oct-2019,"1,504.3300",,+1.0800,+0.0718%,"1,504.3500","1,500.1500","1,517.7000"
24-Oct-2019,"1,503.2500",,+11.4000,+0.7642%,"1,491.9005","1,487.6200","1,503.8110"
23-Oct-2019,"1,491.8500",,+4.2000,+0.2823%,"1,487.9500","1,487.2400","1,495.9929"
22-Oct-2019,"1,487.6500",,+3.4000,+0.2291%,"1,484.2650","1,480.4400","1,488.7700"
21-Oct-2019,"1,484.2500",,-5.4500,-0.3658%,"1,491.7710","1,481.5000","1,495.0601"
18-Oct-2019,"1,489.7000",,-1.9400,-0.1301%,"1,491.9200","1,484.4000","1,493.9301"
17-Oct-2019,"1,491.6400",,+2.2700,+0.1524%,"1,490.1500","1,483.1000","1,497.1825"
16-Oct-2019,"1,489.3700",,+8.4500,+0.5706%,"1,480.8750","1,476.6500","1,491.2013"
15-Oct-2019,"1,480.9200",,-11.8800,-0.7958%,"1,493.0000","1,477.2100","1,497.7400"
14-Oct-2019,"1,492.8000",,+3.3500,+0.2249%,"1,488.5000","1,482.5000","1,497.0000"
11-Oct-2019,"1,489.4500",,-4.5500,-0.3046%,"1,494.0600","1,473.9000","1,503.0930"
10-Oct-2019,"1,494.0000",,-11.3000,-0.7507%,"1,505.3000","1,491.1000","1,516.7678"
09-Oct-2019,"1,505.3000",,+0.0400,+0.0027%,"1,505.6600","1,499.3000","1,511.2010"
08-Oct-2019,"1,505.2600",,+11.9100,+0.7975%,"1,493.1500","1,487.2351","1,508.3149"
07-Oct-2019,"1,493.3500",,-11.0000,-0.7312%,"1,504.5050","1,489.6851","1,509.2209"
04-Oct-2019,"1,504.3500",,-0.4000,-0.0266%,"1,504.9351","1,496.7600","1,510.6930"
03-Oct-2019,"1,504.7500",,+5.4900,+0.3662%,"1,499.2959","1,495.6000","1,518.5000"
02-Oct-2019,"1,499.2600",,+20.6800,+1.3986%,"1,478.9449","1,474.0000","1,504.7300"
01-Oct-2019,"1,478.5800",,+6.5800,+0.4470%,"1,471.9000","1,458.5000","1,487.0194"
30-Sep-2019,"1,472.0000",,-24.5600,-1.6411%,"1,496.8250","1,463.9900","1,500.2476"
27-Sep-2019,"1,496.5600",,-9.0400,-0.6004%,"1,505.8000","1,486.6000","1,507.4000"
26-Sep-2019,"1,505.6000",,+1.8500,+0.1230%,"1,503.6899","1,501.5400","1,512.4000"
25-Sep-2019,"1,503.7500",,-28.0500,-1.8312%,"1,531.2000","1,501.0100","1,535.0000"
