Exchange Date,Close,Net,%Chg,Open,Low,High,Volume
14-Jan-2020,"9,033.420",-37.226,-0.410%,"9,068.023","9,020.923","9,080.160","154,919,413"
15-Jan-2020,"9,035.667",+2.247,+0.025%,"9,039.312","9,008.950","9,078.870","136,692,391"
16-Jan-2020,"9,124.999",+89.332,+0.989%,"9,088.084","9,066.306","9,126.073","143,139,792"
17-Jan-2020,"9,173.733",+48.734,+0.534%,"9,159.483","9,118.982","9,176.470","200,480,457"
21-Jan-2020,"9,166.628",-7.105,-0.077%,"9,145.641","9,141.783","9,187.419","187,349,649"
22-Jan-2020,"9,188.575",+21.947,+0.239%,"9,212.353","9,179.267","9,242.479","158,718,932"
23-Jan-2020,"9,216.984",+28.409,+0.309%,"9,186.137","9,145.233","9,221.126","166,786,709"
24-Jan-2020,"9,141.467",-75.517,-0.819%,"9,266.351","9,101.443","9,272.373","187,986,233"
27-Jan-2020,"8,952.178",-189.289,-2.071%,"8,913.164","8,910.972","9,001.436","193,019,329"
28-Jan-2020,"9,090.932",+138.754,+1.550%,"9,013.229","8,994.285","9,111.315","154,541,035"
29-Jan-2020,"9,101.613",+10.681,+0.117%,"9,141.521","9,067.287","9,153.076","173,455,540"
30-Jan-2020,"9,136.087",+34.474,+0.379%,"9,038.922","9,019.720","9,140.694","185,284,680"
31-Jan-2020,"8,991.512",-144.575,-1.582%,"9,169.910","8,961.590","9,170.216","217,217,765"
03-Feb-2020,"9,126.232",+134.720,+1.498%,"9,033.518","9,031.073","9,148.505","183,060,179"
04-Feb-2020,"9,334.055",+207.823,+2.277%,"9,256.938","9,224.859","9,352.963","199,768,994"
05-Feb-2020,"9,367.481",+33.426,+0.358%,"9,441.344","9,311.884","9,442.755","193,600,094"
06-Feb-2020,"9,445.916",+78.435,+0.837%,"9,395.686","9,357.863","9,448.723","165,899,216"
07-Feb-2020,"9,401.097",-44.819,-0.474%,"9,397.765","9,376.910","9,453.243","153,797,137"
10-Feb-2020,"9,516.840",+115.743,+1.231%,"9,373.196","9,373.196","9,517.740","154,241,125"
11-Feb-2020,"9,517.861",+1.021,+0.011%,"9,567.815","9,493.631","9,600.050","152,230,997"
12-Feb-2020,"9,613.201",+95.340,+1.002%,"9,569.822","9,552.033","9,615.905","166,197,425"
13-Feb-2020,"9,595.702",-17.499,-0.182%,"9,540.671","9,532.741","9,636.409","162,349,602"
